founded_year,founder_education_score,article_mentions,sentiment_score,countries_operating,recent_milestone,description,startup_id,problem_addressed,key_metrics,country,founder_network_score,valuation_usd,user_satisfaction_score,market_size_estimate,sector,months_in_operation,keyword_relevance_score,customer_testimonials,investor_readiness_score,social_media_followers,founder_name,founder_experience_years,media_coverage_count,problem_country_alignment,team_size,data_source,startup_name,funding_raised
2018,9.4,10,0.7,1,Raised $1.5M in recent funding round,Innovative edtech startup addressing energy access in Nigeria,SYNTH_0147,Energy Access,"Operating in 1 countries, 26 team members",Nigeria,6.0,7114806,7.27,5499734,EdTech,6,7.41,12,92.26,3102,Founder_0147,12.5,10,7.46,26,synthetic,Startup_0147,1451422
2022,7.3,8,0.7,3,Raised $1.7M in recent funding round,Innovative e-commerce startup addressing financial inclusion in Nigeria,SYNTH_0148,Financial Inclusion,"Operating in 3 countries, 25 team members",Nigeria,2.6,12204212,6.31,993631,E-commerce,21,8.18,15,100.0,5300,Founder_0148,14.2,10,8.21,25,synthetic,Startup_0148,1741274
2020,8.9,8,0.8,6,Raised $42.0M in recent funding round,Innovative fintech startup addressing agricultural efficiency in Cameroon,SYNTH_0149,Agricultural Efficiency,"Operating in 6 countries, 35 team members",Cameroon,6.9,394609478,5.63,3882251,FinTech,21,7.66,12,100.0,1461,Founder_0149,0.1,5,6.97,35,synthetic,Startup_0149,41974855
2018,6.3,8,0.7,1,Raised $1.5M in recent funding round,Innovative logistech startup addressing women empowerment in Cameroon,SYNTH_0150,Women Empowerment,"Operating in 1 countries, 27 team members",Cameroon,6.7,5554591,8.33,10909280,LogisTech,50,6.39,8,100.0,14487,Founder_0150,10.4,5,5.07,27,synthetic,Startup_0150,1472895
2019,5.4,7,0.8,3,Raised $27.3M in recent funding round,Innovative cleantech startup addressing digital payment in Tanzania,SYNTH_0151,Digital Payment,"Operating in 3 countries, 19 team members",Tanzania,4.8,188749327,7.69,1673791,CleanTech,48,7.51,10,55.52,2531,Founder_0151,4.4,5,7.14,19,synthetic,Startup_0151,27264911
2021,6.5,7,0.7,2,Raised $2.3M in recent funding round,Innovative blockchain startup addressing rural connectivity in South Africa,SYNTH_0152,Rural Connectivity,"Operating in 2 countries, 19 team members",South Africa,4.2,13968275,7.48,3026455,Blockchain,33,7.98,6,52.5,99383,Founder_0152,0.3,6,5.79,19,synthetic,Startup_0152,2336810
2018,8.0,14,0.8,3,Raised $6.2M in recent funding round,Innovative logistech startup addressing healthcare access in Kenya,SYNTH_0153,Healthcare Access,"Operating in 3 countries, 30 team members",Kenya,6.7,34390056,7.34,19245441,LogisTech,11,7.72,9,48.67,665,Founder_0153,8.1,8,5.32,30,synthetic,Startup_0153,6210317
2021,7.7,7,0.8,1,Raised $37.2M in recent funding round,Innovative fintech startup addressing healthcare access in Kenya,SYNTH_0154,Healthcare Access,"Operating in 1 countries, 26 team members",Kenya,9.1,216541292,5.67,27177975,FinTech,6,9.99,10,100.0,2120,Founder_0154,7.7,2,6.56,26,synthetic,Startup_0154,37232487
2023,7.1,5,0.7,1,Raised $0.1M in recent funding round,Innovative agritech startup addressing agricultural efficiency in Kenya,SYNTH_0155,Agricultural Efficiency,"Operating in 1 countries, 28 team members",Kenya,8.0,922474,8.91,9113228,AgriTech,68,8.68,6,100.0,3981,Founder_0155,3.1,3,7.94,28,synthetic,Startup_0155,92760
2022,8.5,3,0.5,4,Raised $13.9M in recent funding round,Innovative cleantech startup addressing youth employment in Cameroon,SYNTH_0156,Youth Employment,"Operating in 4 countries, 18 team members",Cameroon,2.9,102849534,7.84,23288071,CleanTech,10,7.24,9,22.86,1669,Founder_0156,0.2,5,4.47,18,synthetic,Startup_0156,13946443
2020,10.0,4,0.5,1,Raised $3.9M in recent funding round,Innovative logistech startup addressing education gap in Senegal,SYNTH_0157,Education Gap,"Operating in 1 countries, 29 team members",Senegal,7.0,19214066,8.29,6747669,LogisTech,91,10.0,2,66.69,1222,Founder_0157,7.1,9,5.05,29,synthetic,Startup_0157,3906820
2018,8.5,5,0.7,1,Raised $3.9M in recent funding round,Innovative healthtech startup addressing education gap in Kenya,SYNTH_0158,Education Gap,"Operating in 1 countries, 30 team members",Kenya,4.9,37320755,8.34,648604,HealthTech,8,7.01,10,73.51,19217,Founder_0158,5.3,7,8.47,30,synthetic,Startup_0158,3889561
2015,6.8,10,0.7,3,Raised $3.7M in recent funding round,Innovative e-commerce startup addressing education gap in Nigeria,SYNTH_0159,Education Gap,"Operating in 3 countries, 29 team members",Nigeria,6.3,26330127,6.21,4684612,E-commerce,41,5.01,11,100.0,2304,Founder_0159,12.9,6,6.19,29,synthetic,Startup_0159,3711972
2017,5.0,5,0.9,1,Raised $3.9M in recent funding round,Innovative cleantech startup addressing energy access in Ghana,SYNTH_0160,Energy Access,"Operating in 1 countries, 26 team members",Ghana,6.0,26830068,8.05,4202901,CleanTech,30,6.46,8,59.9,1629,Founder_0160,3.9,6,6.53,26,synthetic,Startup_0160,3912235
2016,7.9,8,1.0,3,Raised $4.2M in recent funding round,Innovative blockchain startup addressing education gap in Senegal,SYNTH_0161,Education Gap,"Operating in 3 countries, 32 team members",Senegal,5.2,18179237,6.67,3637711,Blockchain,16,6.75,9,49.12,1366,Founder_0161,1.9,4,6.54,32,synthetic,Startup_0161,4189706
2016,7.3,12,0.5,3,Raised $1.4M in recent funding round,Innovative fintech startup addressing supply chain in Nigeria,SYNTH_0162,Supply Chain,"Operating in 3 countries, 17 team members",Nigeria,6.9,8174902,6.33,5436438,FinTech,86,7.85,5,53.12,17633,Founder_0162,15.9,5,4.57,17,synthetic,Startup_0162,1425373
2022,6.7,6,1.0,1,Raised $22.3M in recent funding round,Innovative fintech startup addressing energy access in Ghana,SYNTH_0163,Energy Access,"Operating in 1 countries, 24 team members",Ghana,6.2,141983795,5.78,16217426,FinTech,57,6.94,7,55.29,3196,Founder_0163,1.6,5,7.51,24,synthetic,Startup_0163,22338859
2020,7.7,7,0.3,3,Raised $4.5M in recent funding round,Innovative fintech startup addressing women empowerment in Rwanda,SYNTH_0164,Women Empowerment,"Operating in 3 countries, 22 team members",Rwanda,8.4,30455808,7.42,1878820,FinTech,6,8.17,8,99.05,7533,Founder_0164,17.1,9,4.63,22,synthetic,Startup_0164,4549274
2016,7.4,8,0.7,4,Raised $3.0M in recent funding round,Innovative e-commerce startup addressing agricultural efficiency in Rwanda,SYNTH_0165,Agricultural Efficiency,"Operating in 4 countries, 26 team members",Rwanda,6.6,9057551,7.92,8384107,E-commerce,6,6.01,8,100.0,1401,Founder_0165,8.0,7,5.63,26,synthetic,Startup_0165,3008061
2023,7.3,3,0.6,1,Raised $1.8M in recent funding round,Innovative edtech startup addressing digital payment in Zimbabwe,SYNTH_0166,Digital Payment,"Operating in 1 countries, 24 team members",Zimbabwe,4.8,17726938,5.88,131563186,EdTech,38,6.59,7,78.07,15667,Founder_0166,1.2,5,5.48,24,synthetic,Startup_0166,1843695
2022,8.3,8,0.8,2,Raised $3.9M in recent funding round,Innovative ai/ml startup addressing financial inclusion in South Africa,SYNTH_0167,Financial Inclusion,"Operating in 2 countries, 19 team members",South Africa,8.2,15641773,7.31,9828581,AI/ML,20,7.81,8,100.0,72743,Founder_0167,5.7,11,5.34,19,synthetic,Startup_0167,3872088
2019,5.9,9,0.5,1,Raised $3.1M in recent funding round,Innovative healthtech startup addressing youth employment in Rwanda,SYNTH_0168,Youth Employment,"Operating in 1 countries, 27 team members",Rwanda,7.0,29952707,7.22,11260773,HealthTech,10,6.83,14,97.07,13988,Founder_0168,2.7,4,4.87,27,synthetic,Startup_0168,3097970
2019,5.7,4,0.6,5,Raised $1.4M in recent funding round,Innovative healthtech startup addressing healthcare access in Kenya,SYNTH_0169,Healthcare Access,"Operating in 5 countries, 25 team members",Kenya,4.7,12503529,5.71,693006,HealthTech,50,7.95,7,73.39,481,Founder_0169,4.3,10,6.5,25,synthetic,Startup_0169,1403054
2017,4.6,13,0.8,1,Raised $0.4M in recent funding round,Innovative cleantech startup addressing digital payment in Zimbabwe,SYNTH_0170,Digital Payment,"Operating in 1 countries, 25 team members",Zimbabwe,6.2,3786236,7.78,1904102,CleanTech,28,7.68,13,82.08,10312,Founder_0170,9.0,10,6.58,25,synthetic,Startup_0170,443617
2017,5.3,14,0.9,3,Raised $0.6M in recent funding round,Innovative logistech startup addressing financial inclusion in Zimbabwe,SYNTH_0171,Financial Inclusion,"Operating in 3 countries, 19 team members",Zimbabwe,3.0,3257015,3.86,1886418,LogisTech,12,8.89,12,89.86,23036,Founder_0171,1.7,8,6.27,19,synthetic,Startup_0171,571872
2020,7.4,6,0.5,1,Raised $1.0M in recent funding round,Innovative edtech startup addressing energy access in Cameroon,SYNTH_0172,Energy Access,"Operating in 1 countries, 25 team members",Cameroon,4.0,7935186,7.06,7203117,EdTech,120,8.61,6,82.81,100,Founder_0172,9.5,5,6.11,25,synthetic,Startup_0172,959547
2021,8.7,8,0.4,1,Raised $14.5M in recent funding round,Innovative ai/ml startup addressing healthcare access in Cameroon,SYNTH_0173,Healthcare Access,"Operating in 1 countries, 32 team members",Cameroon,6.0,113766446,10.0,10280235,AI/ML,9,8.71,8,97.55,3994,Founder_0173,1.7,4,7.84,32,synthetic,Startup_0173,14531883
2023,4.6,10,0.9,3,Raised $1.9M in recent funding round,Innovative e-commerce startup addressing education gap in Tanzania,SYNTH_0174,Education Gap,"Operating in 3 countries, 22 team members",Tanzania,6.1,10364203,7.07,3227743,E-commerce,18,7.64,10,88.32,145,Founder_0174,7.2,2,5.03,22,synthetic,Startup_0174,1869139
2016,6.6,8,0.8,1,Raised $2.7M in recent funding round,Innovative insurtech startup addressing healthcare access in Uganda,SYNTH_0175,Healthcare Access,"Operating in 1 countries, 18 team members",Uganda,6.8,18994321,7.64,4615959,InsurTech,16,8.83,5,70.64,828,Founder_0175,14.7,9,6.71,18,synthetic,Startup_0175,2739353
2019,9.9,6,0.3,2,Raised $3.1M in recent funding round,Innovative blockchain startup addressing energy access in Uganda,SYNTH_0176,Energy Access,"Operating in 2 countries, 23 team members",Uganda,7.5,22048138,6.08,81926202,Blockchain,8,9.43,8,82.36,447,Founder_0176,3.6,9,4.69,23,synthetic,Startup_0176,3128456
2015,7.9,9,0.5,4,Raised $2.0M in recent funding round,Innovative blockchain startup addressing education gap in Nigeria,SYNTH_0177,Education Gap,"Operating in 4 countries, 25 team members",Nigeria,8.5,14197266,5.0,676187,Blockchain,24,6.35,8,90.25,2181,Founder_0177,3.7,7,8.64,25,synthetic,Startup_0177,2008859
2023,6.3,10,0.6,3,Raised $2.6M in recent funding round,Innovative agritech startup addressing women empowerment in Uganda,SYNTH_0178,Women Empowerment,"Operating in 3 countries, 25 team members",Uganda,7.5,18958504,7.46,2446306,AgriTech,60,9.49,5,52.28,1356,Founder_0178,2.9,8,7.54,25,synthetic,Startup_0178,2573358
2015,7.5,13,0.7,1,Raised $14.4M in recent funding round,Innovative fintech startup addressing youth employment in Kenya,SYNTH_0179,Youth Employment,"Operating in 1 countries, 20 team members",Kenya,7.4,56453659,8.54,18058521,FinTech,38,7.01,7,83.25,710,Founder_0179,3.5,6,4.83,20,synthetic,Startup_0179,14385049
2018,6.1,4,0.9,3,Raised $5.7M in recent funding round,Innovative fintech startup addressing rural connectivity in Senegal,SYNTH_0180,Rural Connectivity,"Operating in 3 countries, 25 team members",Senegal,5.5,30346381,8.06,136203095,FinTech,32,8.93,2,78.62,58422,Founder_0180,6.4,6,6.4,25,synthetic,Startup_0180,5719347
2015,8.3,6,0.8,2,Raised $2.8M in recent funding round,Innovative healthtech startup addressing agricultural efficiency in Zimbabwe,SYNTH_0181,Agricultural Efficiency,"Operating in 2 countries, 20 team members",Zimbabwe,5.7,23139505,7.26,56642820,HealthTech,21,6.95,4,100.0,1783,Founder_0181,2.4,8,6.02,20,synthetic,Startup_0181,2752797
2019,6.3,7,0.5,1,Raised $3.9M in recent funding round,Innovative healthtech startup addressing rural connectivity in Nigeria,SYNTH_0182,Rural Connectivity,"Operating in 1 countries, 31 team members",Nigeria,5.4,27005560,7.94,10167200,HealthTech,24,7.32,11,65.2,1605,Founder_0182,1.5,6,6.17,31,synthetic,Startup_0182,3921326
2018,7.5,11,0.5,1,Raised $13.8M in recent funding round,Innovative fintech startup addressing digital payment in Senegal,SYNTH_0183,Digital Payment,"Operating in 1 countries, 31 team members",Senegal,6.2,46340375,8.22,5318916,FinTech,6,8.17,13,100.0,1914,Founder_0183,3.8,8,7.14,31,synthetic,Startup_0183,13831082
2018,6.2,7,0.5,3,Raised $0.8M in recent funding round,Innovative healthtech startup addressing healthcare access in Zimbabwe,SYNTH_0184,Healthcare Access,"Operating in 3 countries, 28 team members",Zimbabwe,6.7,3514036,6.86,3794667,HealthTech,6,8.66,6,73.41,7689,Founder_0184,8.5,4,6.65,28,synthetic,Startup_0184,782391
2016,7.5,8,0.7,1,Raised $0.8M in recent funding round,Innovative insurtech startup addressing agricultural efficiency in Rwanda,SYNTH_0185,Agricultural Efficiency,"Operating in 1 countries, 16 team members",Rwanda,6.2,6122777,7.53,12096345,InsurTech,15,7.08,5,61.26,4156,Founder_0185,1.7,8,5.91,16,synthetic,Startup_0185,758177
2019,6.2,6,0.5,1,Raised $0.4M in recent funding round,Innovative cleantech startup addressing women empowerment in Nigeria,SYNTH_0186,Women Empowerment,"Operating in 1 countries, 23 team members",Nigeria,6.0,2679721,7.87,7782592,CleanTech,47,7.18,6,92.94,299,Founder_0186,0.5,4,6.6,23,synthetic,Startup_0186,363776
2018,8.5,7,0.8,2,Raised $5.5M in recent funding round,Innovative fintech startup addressing women empowerment in Kenya,SYNTH_0187,Women Empowerment,"Operating in 2 countries, 19 team members",Kenya,4.1,43372858,5.66,1259384,FinTech,6,7.28,7,100.0,23992,Founder_0187,11.2,6,4.04,19,synthetic,Startup_0187,5535848
2018,9.0,2,0.5,1,Raised $1.2M in recent funding round,Innovative insurtech startup addressing energy access in Nigeria,SYNTH_0188,Energy Access,"Operating in 1 countries, 25 team members",Nigeria,6.5,10467279,6.58,18493310,InsurTech,56,5.66,6,58.09,319,Founder_0188,2.1,5,4.42,25,synthetic,Startup_0188,1244995
2018,4.8,11,0.6,1,Raised $6.4M in recent funding round,Innovative e-commerce startup addressing healthcare access in Cameroon,SYNTH_0189,Healthcare Access,"Operating in 1 countries, 35 team members",Cameroon,6.5,45919865,6.43,14305110,E-commerce,7,9.24,6,66.01,2917,Founder_0189,5.3,6,5.01,35,synthetic,Startup_0189,6441421
2022,8.0,6,0.5,3,Raised $2.5M in recent funding round,Innovative insurtech startup addressing rural connectivity in Senegal,SYNTH_0190,Rural Connectivity,"Operating in 3 countries, 30 team members",Senegal,6.6,20898794,4.72,10161259,InsurTech,13,8.35,8,49.8,667,Founder_0190,0.9,8,5.97,30,synthetic,Startup_0190,2547230
2015,7.0,5,0.7,4,Raised $5.5M in recent funding round,Innovative ai/ml startup addressing women empowerment in Ghana,SYNTH_0191,Women Empowerment,"Operating in 4 countries, 22 team members",Ghana,8.2,41527391,5.95,12224700,AI/ML,66,7.15,8,100.0,3355,Founder_0191,0.6,9,4.45,22,synthetic,Startup_0191,5539211
2017,7.5,11,0.6,4,Raised $4.7M in recent funding round,Innovative edtech startup addressing women empowerment in South Africa,SYNTH_0192,Women Empowerment,"Operating in 4 countries, 25 team members",South Africa,4.5,17911934,7.21,963020,EdTech,11,9.13,11,100.0,612,Founder_0192,10.4,10,6.09,25,synthetic,Startup_0192,4723934
2018,8.3,9,1.0,4,Raised $2.0M in recent funding round,Innovative healthtech startup addressing energy access in Cameroon,SYNTH_0193,Energy Access,"Operating in 4 countries, 17 team members",Cameroon,4.5,15406710,8.66,5315881,HealthTech,60,8.37,5,87.32,38983,Founder_0193,5.1,8,7.76,17,synthetic,Startup_0193,2011696
2023,5.7,5,0.9,1,Raised $0.9M in recent funding round,Innovative insurtech startup addressing healthcare access in Senegal,SYNTH_0194,Healthcare Access,"Operating in 1 countries, 28 team members",Senegal,5.5,3814861,7.92,31960888,InsurTech,45,5.13,8,71.85,2729,Founder_0194,3.7,5,5.91,28,synthetic,Startup_0194,912733
2020,6.7,6,0.8,2,Raised $2.1M in recent funding round,Innovative cleantech startup addressing financial inclusion in Senegal,SYNTH_0195,Financial Inclusion,"Operating in 2 countries, 33 team members",Senegal,8.9,11797993,7.83,37862579,CleanTech,6,10.0,13,100.0,3237,Founder_0195,0.6,11,6.32,33,synthetic,Startup_0195,2130747
2016,7.0,10,0.7,5,Raised $6.9M in recent funding round,Innovative agritech startup addressing energy access in Rwanda,SYNTH_0196,Energy Access,"Operating in 5 countries, 23 team members",Rwanda,6.6,41573609,8.19,1707348,AgriTech,88,9.93,9,100.0,9504,Founder_0196,7.4,4,7.61,23,synthetic,Startup_0196,6922878
2023,7.7,8,0.4,1,Raised $7.7M in recent funding round,Innovative cleantech startup addressing women empowerment in Cameroon,SYNTH_0197,Women Empowerment,"Operating in 1 countries, 20 team members",Cameroon,6.5,27724076,6.81,147806439,CleanTech,15,8.59,4,82.65,40302,Founder_0197,3.8,10,5.14,20,synthetic,Startup_0197,7685687
2021,9.0,7,0.5,2,Raised $0.8M in recent funding round,Innovative edtech startup addressing healthcare access in Tanzania,SYNTH_0198,Healthcare Access,"Operating in 2 countries, 25 team members",Tanzania,9.6,3647987,7.3,677684,EdTech,10,7.02,12,64.99,4260,Founder_0198,4.3,2,5.39,25,synthetic,Startup_0198,768704
2020,5.7,7,0.5,1,Raised $1.1M in recent funding round,Innovative agritech startup addressing digital payment in Senegal,SYNTH_0199,Digital Payment,"Operating in 1 countries, 18 team members",Senegal,9.4,9835276,10.0,2681867,AgriTech,20,6.17,11,100.0,1834,Founder_0199,0.9,4,5.61,18,synthetic,Startup_0199,1078937
2017,9.9,9,0.9,3,Raised $0.4M in recent funding round,Innovative blockchain startup addressing women empowerment in Cameroon,SYNTH_0200,Women Empowerment,"Operating in 3 countries, 20 team members",Cameroon,4.8,1403909,5.65,10077429,Blockchain,6,5.77,7,70.71,3356,Founder_0200,5.2,8,5.2,20,synthetic,Startup_0200,385825
2023,8.5,8,0.3,4,Raised $1.5M in recent funding round,Innovative e-commerce startup addressing healthcare access in Uganda,SYNTH_0201,Healthcare Access,"Operating in 4 countries, 20 team members",Uganda,8.9,12619216,7.47,21155889,E-commerce,7,7.56,8,84.41,46990,Founder_0201,2.1,5,6.95,20,synthetic,Startup_0201,1451819
2019,5.6,6,0.8,2,Raised $16.4M in recent funding round,Innovative fintech startup addressing energy access in Ghana,SYNTH_0202,Energy Access,"Operating in 2 countries, 21 team members",Ghana,3.6,104293782,6.69,7292541,FinTech,222,6.28,6,67.74,4532,Founder_0202,2.1,6,6.26,21,synthetic,Startup_0202,16436798
2015,7.7,7,0.4,2,Raised $1.6M in recent funding round,Innovative e-commerce startup addressing financial inclusion in Uganda,SYNTH_0203,Financial Inclusion,"Operating in 2 countries, 22 team members",Uganda,3.8,8560287,5.5,11112318,E-commerce,22,6.63,8,85.16,1248,Founder_0203,1.4,6,7.65,22,synthetic,Startup_0203,1578449
2017,9.6,7,0.7,1,Raised $6.7M in recent funding round,Innovative logistech startup addressing supply chain in Nigeria,SYNTH_0204,Supply Chain,"Operating in 1 countries, 26 team members",Nigeria,8.3,38115090,5.4,100789763,LogisTech,61,7.17,11,100.0,3940,Founder_0204,0.2,4,5.08,26,synthetic,Startup_0204,6710935
2020,9.5,14,0.9,2,Raised $0.8M in recent funding round,Innovative healthtech startup addressing youth employment in Uganda,SYNTH_0205,Youth Employment,"Operating in 2 countries, 19 team members",Uganda,6.3,5372258,7.96,5174150,HealthTech,11,5.69,5,18.75,474,Founder_0205,0.9,1,5.05,19,synthetic,Startup_0205,808893
2016,8.6,10,0.7,2,Raised $2.0M in recent funding round,Innovative healthtech startup addressing healthcare access in Tanzania,SYNTH_0206,Healthcare Access,"Operating in 2 countries, 20 team members",Tanzania,7.1,15807405,9.21,9786192,HealthTech,56,6.47,8,95.4,7545,Founder_0206,4.6,4,9.29,20,synthetic,Startup_0206,2003635
2022,7.3,9,0.8,5,Raised $0.1M in recent funding round,Innovative logistech startup addressing energy access in Cameroon,SYNTH_0207,Energy Access,"Operating in 5 countries, 18 team members",Cameroon,6.8,396353,5.42,8523689,LogisTech,22,7.62,7,56.48,27057,Founder_0207,2.4,3,7.48,18,synthetic,Startup_0207,91479
2020,6.1,7,1.0,3,Raised $5.5M in recent funding round,Innovative agritech startup addressing energy access in Uganda,SYNTH_0208,Energy Access,"Operating in 3 countries, 22 team members",Uganda,5.5,51859618,5.96,3962309,AgriTech,29,7.19,9,74.0,6199,Founder_0208,1.3,4,6.03,22,synthetic,Startup_0208,5451250
2017,5.0,11,0.8,1,Raised $2.6M in recent funding round,Innovative agritech startup addressing supply chain in Ghana,SYNTH_0209,Supply Chain,"Operating in 1 countries, 26 team members",Ghana,5.1,12113443,7.48,51007657,AgriTech,20,7.42,12,81.78,1163,Founder_0209,3.8,4,7.25,26,synthetic,Startup_0209,2568023
2018,8.1,6,0.6,1,Raised $10.1M in recent funding round,Innovative ai/ml startup addressing financial inclusion in Cameroon,SYNTH_0210,Financial Inclusion,"Operating in 1 countries, 21 team members",Cameroon,5.3,93587649,7.46,11655385,AI/ML,6,5.89,5,97.21,1417,Founder_0210,2.3,5,5.79,21,synthetic,Startup_0210,10079245
2016,5.3,11,0.6,2,Raised $3.3M in recent funding round,Innovative edtech startup addressing agricultural efficiency in Cameroon,SYNTH_0211,Agricultural Efficiency,"Operating in 2 countries, 27 team members",Cameroon,7.6,19446630,9.86,1176949,EdTech,20,8.28,6,55.22,5572,Founder_0211,2.8,4,6.11,27,synthetic,Startup_0211,3321360
2019,6.6,5,0.5,1,Raised $19.9M in recent funding round,Innovative fintech startup addressing financial inclusion in Tanzania,SYNTH_0212,Financial Inclusion,"Operating in 1 countries, 18 team members",Tanzania,3.2,190838488,6.09,61383426,FinTech,61,8.76,9,52.25,217,Founder_0212,3.6,4,5.74,18,synthetic,Startup_0212,19886457
2016,5.9,8,0.7,2,Raised $11.0M in recent funding round,Innovative logistech startup addressing education gap in South Africa,SYNTH_0213,Education Gap,"Operating in 2 countries, 30 team members",South Africa,8.1,91633297,7.27,20025079,LogisTech,53,6.42,8,100.0,17355,Founder_0213,1.8,7,4.12,30,synthetic,Startup_0213,10981261
2022,5.7,5,0.8,2,Raised $3.5M in recent funding round,Innovative fintech startup addressing supply chain in Senegal,SYNTH_0214,Supply Chain,"Operating in 2 countries, 22 team members",Senegal,6.5,13557588,8.95,763291,FinTech,6,5.56,7,100.0,1549,Founder_0214,14.0,3,8.82,22,synthetic,Startup_0214,3480787
2018,4.9,4,0.7,2,Raised $13.1M in recent funding round,Innovative edtech startup addressing agricultural efficiency in Tanzania,SYNTH_0215,Agricultural Efficiency,"Operating in 2 countries, 23 team members",Tanzania,9.1,96481261,6.25,25121203,EdTech,30,7.76,7,69.91,406,Founder_0215,2.6,3,6.16,23,synthetic,Startup_0215,13115625
2016,8.1,4,0.5,1,Raised $6.3M in recent funding round,Innovative agritech startup addressing education gap in Nigeria,SYNTH_0216,Education Gap,"Operating in 1 countries, 21 team members",Nigeria,6.1,48933319,5.52,639477,AgriTech,43,7.12,11,50.76,894,Founder_0216,16.0,6,6.08,21,synthetic,Startup_0216,6255305
2019,7.6,8,0.7,1,Raised $6.6M in recent funding round,Innovative ai/ml startup addressing education gap in Tanzania,SYNTH_0217,Education Gap,"Operating in 1 countries, 21 team members",Tanzania,4.1,37523435,5.83,12292480,AI/ML,6,9.94,12,99.92,10640,Founder_0217,3.0,11,8.03,21,synthetic,Startup_0217,6577394
2016,7.4,5,0.8,1,Raised $2.5M in recent funding round,Innovative fintech startup addressing rural connectivity in Kenya,SYNTH_0218,Rural Connectivity,"Operating in 1 countries, 23 team members",Kenya,5.0,8498406,9.17,14424837,FinTech,25,6.08,9,86.45,1761,Founder_0218,2.4,9,6.26,23,synthetic,Startup_0218,2486385
2023,9.6,13,0.7,1,Raised $2.8M in recent funding round,Innovative logistech startup addressing youth employment in Senegal,SYNTH_0219,Youth Employment,"Operating in 1 countries, 29 team members",Senegal,4.7,25649216,5.97,15013088,LogisTech,6,7.14,15,94.63,534,Founder_0219,0.1,4,7.24,29,synthetic,Startup_0219,2753432
2020,4.8,9,0.5,3,Raised $2.3M in recent funding round,Innovative ai/ml startup addressing women empowerment in Zimbabwe,SYNTH_0220,Women Empowerment,"Operating in 3 countries, 30 team members",Zimbabwe,7.1,8977474,7.4,3621569,AI/ML,48,6.87,11,88.0,16841,Founder_0220,0.3,4,6.85,30,synthetic,Startup_0220,2338338
2015,9.8,9,0.6,1,Raised $0.6M in recent funding round,Innovative e-commerce startup addressing youth employment in Tanzania,SYNTH_0221,Youth Employment,"Operating in 1 countries, 29 team members",Tanzania,5.4,5668266,7.76,5392008,E-commerce,7,9.17,8,72.48,12987,Founder_0221,2.2,7,6.17,29,synthetic,Startup_0221,611424
2018,7.5,5,0.5,1,Raised $5.0M in recent funding round,Innovative healthtech startup addressing youth employment in Nigeria,SYNTH_0222,Youth Employment,"Operating in 1 countries, 28 team members",Nigeria,7.6,30884852,6.93,13565689,HealthTech,20,6.99,7,86.05,37233,Founder_0222,0.9,1,6.32,28,synthetic,Startup_0222,4976236
2016,5.0,2,0.7,1,Raised $7.3M in recent funding round,Innovative logistech startup addressing financial inclusion in Cameroon,SYNTH_0223,Financial Inclusion,"Operating in 1 countries, 22 team members",Cameroon,6.0,66010582,6.51,549839,LogisTech,30,7.06,12,41.2,256,Founder_0223,3.2,7,5.6,22,synthetic,Startup_0223,7303090
2021,7.8,12,0.9,2,Raised $53.6M in recent funding round,Innovative ai/ml startup addressing youth employment in South Africa,SYNTH_0224,Youth Employment,"Operating in 2 countries, 21 team members",South Africa,8.7,378706254,7.18,10349461,AI/ML,55,7.38,9,40.45,6298,Founder_0224,5.9,6,7.9,21,synthetic,Startup_0224,53582341
2023,6.1,8,1.0,1,Raised $5.8M in recent funding round,Innovative logistech startup addressing digital payment in Ghana,SYNTH_0225,Digital Payment,"Operating in 1 countries, 28 team members",Ghana,6.9,36745181,6.78,3224585,LogisTech,29,9.41,10,74.69,17116,Founder_0225,4.6,6,6.64,28,synthetic,Startup_0225,5843086
2015,5.3,11,0.6,2,Raised $4.3M in recent funding round,Innovative blockchain startup addressing supply chain in Tanzania,SYNTH_0226,Supply Chain,"Operating in 2 countries, 22 team members",Tanzania,7.8,41321450,7.53,7753749,Blockchain,22,5.62,11,72.62,896,Founder_0226,4.1,4,5.29,22,synthetic,Startup_0226,4341437
2018,9.4,8,0.6,1,Raised $1.5M in recent funding round,Innovative cleantech startup addressing youth employment in South Africa,SYNTH_0227,Youth Employment,"Operating in 1 countries, 26 team members",South Africa,5.4,7926349,7.12,2749768,CleanTech,6,7.83,8,75.99,32142,Founder_0227,2.8,5,7.55,26,synthetic,Startup_0227,1478313
2017,5.1,8,0.3,3,Raised $4.1M in recent funding round,Innovative logistech startup addressing agricultural efficiency in Uganda,SYNTH_0228,Agricultural Efficiency,"Operating in 3 countries, 25 team members",Uganda,7.1,32103061,7.29,47988413,LogisTech,13,7.45,6,69.4,1055,Founder_0228,8.8,5,7.17,25,synthetic,Startup_0228,4051811
2019,6.2,10,0.3,3,Raised $11.7M in recent funding round,Innovative healthtech startup addressing women empowerment in Rwanda,SYNTH_0229,Women Empowerment,"Operating in 3 countries, 30 team members",Rwanda,8.3,48871127,7.72,29558049,HealthTech,6,7.16,6,20.7,6553,Founder_0229,1.0,8,7.23,30,synthetic,Startup_0229,11692652
